Feature,Log Lasso α=3 (R²=0.4943),Original Lasso α=2 (R²=0.9526)
Lifetime Post Consumers,909.73,1415.147
Paid,0.0,20.773
Category,0.0,2.127
Lifetime Post Impressions by people who have liked your Page,0.0,1.157
Lifetime Engaged Users,0.0,0.0
Status,-54.753,0.0
Photo,0.0,0.0
Page total likes,3.362,0.0
Lifetime Post Total Impressions,37.322,0.0
Lifetime Post Total Reach,16.203,0.0
Post Weekday,-0.527,0.0
Video,0.0,0.0
Lifetime Post reach by people who like your Page,0.0,-0.182
Post Hour,3.842,-1.695
Post Month,0.0,-7.918
Lifetime People who have liked your Page and engaged with your post,31.128,-8.624
Lifetime Post Consumptions,-795.347,-1248.099
